FacilityType,FacilityId,Anchor,FoundationType,eqBldgType,DesignLevel,SoilType,LqfSusCat,LndSusCat,WaterDepth,Distance,PGA,PGV,Sa03,Sa10,LqfSettlPGD,LqfSprPGD,LqfProb,LndPGD,LndProb,SufFltRuptPGD,SurfFltRuptProb,PDsNone,PDsSlight,PDsModerate,PDsExtensive,PDsComplete,PDsExceedSlight,PDsExceedModerate,PDsExceedExtensive,FunctDay1,FunctDay3,FunctDay7,FunctDay14,FunctDay30,FunctDay90,EconLoss,Name,City,State,geometry
AirportFlty,CA000043,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.5186741352081299,20.313316345214844,1.2736611366271973,0.5701636075973511,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0093,0.3459,0.3105,0.2188,0.1154,0.9906,0.6447,0.3342,51.8,66.7,72.1,73.2,75.9,87.3,2380919.0,BYRON,CONCORD,CA,POINT (-121.625833 37.828444)
AirportFlty,CA000077,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.7748083472251892,35.31185531616211,1.9298560619354248,1.0328832864761353,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0017,0.1707,0.2698,0.2916,0.266,0.9982,0.8275,0.5576,34.8,47.9,53.0,54.5,58.4,75.4,8337750.0,BUCHANAN FIELD,CONCORD,CA,POINT (-122.056902 37.989657)
AirportFlty,CA000078,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.5609395503997803,35.603309631347656,1.4739805459976196,1.2252141237258911,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0068,0.3076,0.3096,0.2372,0.1386,0.9931,0.6854,0.3758,48.2,63.1,68.6,69.7,72.7,85.3,2559688.0,Q AREA,CONCORD,CA,POINT (-122.007289 38.045142)
CommunicationFlty,CA000043,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.752072274684906,27.92319679260254,1.7639811038970947,0.7291656136512756,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0007,0.0161,0.197,0.48,0.3059,0.9992,0.9831,0.786,25.9,39.9,51.6,69.6,81.6,96.7,85750.484375,KFTL  CH  64,STOCKTON,CA,POINT (-121.90051 37.89298)
CommunicationFlty,CA000044,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.752072274684906,27.92319679260254,1.7639811038970947,0.7291656136512756,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0007,0.0161,0.197,0.48,0.3059,0.9992,0.9831,0.786,25.9,39.9,51.6,69.6,81.6,96.7,85750.484375,KTNC-TV  CH  42,CONCORD,CA,POINT (-121.89912 37.8927)
CommunicationFlty,CA000197,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.7781980633735657,35.52925491333008,1.9471142292022705,1.0302927494049072,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0005,0.0135,0.184,0.4761,0.3255,0.9994,0.9858,0.8017,25.2,38.6,50.2,68.2,80.4,96.5,87162.828125,KCKC   1480,CONCORD,CA,POINT (-121.94635 37.96242)
CommunicationFlty,CA000394,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.7087885737419128,28.83775520324707,1.5971506834030151,0.6852161288261414,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.001,0.0214,0.2203,0.4838,0.2733,0.9989,0.9775,0.7571,27.2,42.3,54.0,72.0,83.5,97.0,83249.5859375,KNEW   910,OAKLAND,CA,POINT (-122.3258 37.89492)
CommunicationFlty,CA000444,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.8580118417739868,35.096527099609375,2.0487470626831055,0.9729273319244385,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0003,0.0081,0.1488,0.4585,0.3841,0.9996,0.9915,0.8426,23.5,35.2,46.5,64.1,76.9,95.9,91050.453125,KSMC  CH 208,MORAGA,CA,POINT (-122.11108 37.8402)
CommunicationFlty,CA000562,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.5609395503997803,35.603309631347656,1.4739805459976196,1.2252141237258911,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0039,0.0581,0.3124,0.462,0.1635,0.996,0.9379,0.6255,33.5,52.7,63.8,80.5,90.1,98.2,72608.828125,KVHS  CH 213,CONCORD,CA,POINT (-122.00218 38.0302)
CommunicationFlty,CA000582,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.7864630818367004,46.78706359863281,1.958044171333313,1.3109819889068604,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0005,0.0128,0.18,0.4747,0.3317,0.9994,0.9865,0.8064,25.0,38.2,49.8,67.8,80.0,96.4,87601.1953125,KECG  CH 201,EL CERRITO,CA,POINT (-122.29525 37.90826)
CommunicationFlty,CA000679,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.837620735168457,37.62312316894531,2.102858543395996,1.1015702486038208,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0003,0.0092,0.1572,0.4637,0.3693,0.9996,0.9903,0.8331,23.9,36.0,47.4,65.2,77.8,96.0,90110.578125,KFJO  CH 211,WALNUT CREEK,CA,POINT (-122.09496 37.89965)
CommunicationFlty,CA000930,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.7040774822235107,27.564533233642578,1.6943836212158203,0.7860524654388428,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.001,0.022,0.223,0.484,0.2697,0.9989,0.9768,0.7538,27.3,42.6,54.3,72.2,83.7,97.1,82959.8984375,KSTN-FM  CH 297,STOCKTON,CA,POINT (-121.78134 37.82131)
ElectricPowerFlty,CA000016,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.6000664234161377,40.070621490478516,1.5195895433425903,1.3292993307113647,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0001,0.0056,0.2319,0.2375,0.5246,0.9998,0.9941,0.7622,10.6,15.9,26.8,34.4,45.5,89.3,15631992.0,MARTINEZ SULFURIC ACID REGENERATION PLT,MARTINEZ,CA,POINT (-122.116022 38.033075)
ElectricPowerFlty,CA000022,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.542044460773468,20.300628662109375,1.3045430183410645,0.5491734743118286,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0003,0.0098,0.2947,0.244,0.451,0.9996,0.9898,0.695,12.5,19.1,32.3,41.0,51.7,90.8,58110476.0,BUENA VISTA ENERGY LLC,BYRON,CA,POINT (-121.6672 37.805)
ElectricPowerFlty,CA000029,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.7645758986473083,33.19930648803711,1.8811763525009155,0.9333800673484802,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0,0.0012,0.1141,0.1922,0.6922,0.9999,0.9986,0.8845,6.9,9.9,15.9,21.3,32.4,85.9,41107820.0,PHILLIPS 66 CARBON PLANT,RODEO,CA,POINT (-122.2344 38.018056)
ElectricPowerFlty,CA000141,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.6251155734062195,26.522377014160156,1.5736724138259888,0.792631983757019,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0001,0.0044,0.2085,0.2326,0.5541,0.9998,0.9953,0.7867,9.9,14.8,24.7,31.9,43.1,88.7,41242056.0,COLUMBIA 1,UNINCORPORATED,CA,POINT (-121.863859 38.0195)
ElectricPowerFlty,CA000235,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.7653398513793945,31.779436111450195,1.8757151365280151,0.9021832346916199,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0,0.0012,0.1137,0.192,0.6929,0.9999,0.9986,0.8849,6.9,9.9,15.9,21.3,32.3,85.9,35037884.0,C&H SUGAR PLANT,CROCKETT,CA,POINT (-122.218889 38.057222)
ElectricPowerFlty,CA000250,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.7110493183135986,38.343650817871094,1.7765729427337646,1.066614031791687,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0005,0.0159,0.2117,0.3551,0.4166,0.9994,0.9835,0.7717,12.9,18.1,28.7,37.1,50.9,91.5,188814848.0,RICHMOND COGEN,RICHMOND,CA,POINT (-122.390557 37.942586)
ElectricPowerFlty,CA000305,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.5261858105659485,21.990455627441406,1.3398592472076416,0.6706250905990601,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0028,0.0536,0.3869,0.3484,0.2081,0.9971,0.9435,0.5566,20.6,29.2,46.4,57.4,69.4,95.7,653237952.0,OAKLEY GENERATING STATION,OAKLEY,CA,POINT (-121.7475 38.01)
ElectricPowerFlty,CA000353,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.5230224132537842,32.076263427734375,1.3694804906845093,1.1245031356811523,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0029,0.0547,0.3904,0.3471,0.2047,0.997,0.9423,0.5518,20.7,29.4,46.8,57.8,69.7,95.8,655739776.0,LOS MEDANOS ENERGY CENTER,PITTSBURG,CA,POINT (-121.873004 38.030071)
ElectricPowerFlty,CA000383,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.6251155734062195,26.522377014160156,1.5736724138259888,0.792631983757019,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0011,0.0276,0.2843,0.367,0.3198,0.9988,0.9712,0.6868,15.9,22.5,35.9,45.5,58.9,93.4,1050132736.0,DELTA ENERGY CENTER,PITTSBURGH,CA,POINT (-121.845152 38.017125)
ElectricPowerFlty,CA000409,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.7638655304908752,29.48883819580078,1.8258516788482666,0.8384757041931152,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0003,0.0114,0.1754,0.3395,0.4731,0.9996,0.9881,0.8127,11.4,15.9,25.0,32.7,46.4,90.3,126573040.0,MARTINEZ REFINING,MARTINEZ,CA,POINT (-122.1117 38.0169)
