FacilityType,FacilityId,Anchor,FoundationType,eqBldgType,DesignLevel,SoilType,LqfSusCat,LndSusCat,WaterDepth,Distance,PGA,PGV,Sa03,Sa10,LqfSettlPGD,LqfSprPGD,LqfProb,LndPGD,LndProb,SufFltRuptPGD,SurfFltRuptProb,PDsNone,PDsSlight,PDsModerate,PDsExtensive,PDsComplete,PDsExceedSlight,PDsExceedModerate,PDsExceedExtensive,FunctDay1,FunctDay3,FunctDay7,FunctDay14,FunctDay30,FunctDay90,EconLoss,Name,City,State,geometry
AirportFlty,CA000043,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.20009920001029968,7.23261833190918,0.46664437651634216,0.19327041506767273,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.1608,0.6779,0.1243,0.0315,0.0052,0.8391,0.1612,0.0368,89.0,94.9,96.9,97.1,97.4,98.9,783923.0625,BYRON,CONCORD,CA,POINT (-121.625833 37.828444)
AirportFlty,CA000077,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.305047869682312,12.021832466125488,0.7280945777893066,0.32921820878982544,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0555,0.5951,0.2316,0.0924,0.0251,0.9444,0.3493,0.1176,75.3,86.4,90.3,90.7,91.8,96.2,3354626.75,BUCHANAN FIELD,CONCORD,CA,POINT (-122.056902 37.989657)
AirportFlty,CA000078,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.2734396457672119,14.547263145446777,0.7414925694465637,0.49189117550849915,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0753,0.6312,0.2037,0.0723,0.0173,0.9246,0.2934,0.0896,79.5,89.2,92.6,92.9,93.7,97.2,1164622.125,Q AREA,CONCORD,CA,POINT (-122.007289 38.045142)
CommunicationFlty,CA000043,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.26402413845062256,8.790486335754395,0.5751269459724426,0.2169787585735321,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0988,0.3889,0.3269,0.1712,0.014,0.9011,0.5122,0.1852,68.4,85.8,90.3,96.2,99.1,99.8,34030.2578125,KFTL  CH  64,STOCKTON,CA,POINT (-121.90051 37.89298)
CommunicationFlty,CA000044,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.26402413845062256,8.790486335754395,0.5751269459724426,0.2169787585735321,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0988,0.3889,0.3269,0.1712,0.014,0.9011,0.5122,0.1852,68.4,85.8,90.3,96.2,99.1,99.8,34030.2578125,KTNC-TV  CH  42,CONCORD,CA,POINT (-121.89912 37.8927)
CommunicationFlty,CA000197,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.297406941652298,11.480756759643555,0.7074201703071594,0.3133818209171295,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0662,0.3278,0.365,0.2183,0.0225,0.9337,0.6059,0.2408,62.0,81.6,87.2,94.8,98.6,99.7,40015.09765625,KCKC   1480,CONCORD,CA,POINT (-121.94635 37.96242)
CommunicationFlty,CA000394,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.24413135647773743,8.268756866455078,0.5125021934509277,0.19292740523815155,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.1259,0.4241,0.2964,0.1433,0.0101,0.874,0.4498,0.1534,72.5,88.2,92.0,96.9,99.3,99.8,30280.923828125,KNEW   910,OAKLAND,CA,POINT (-122.3258 37.89492)
CommunicationFlty,CA000444,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.31861957907676697,10.963915824890137,0.6945685744285583,0.2874138057231903,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0515,0.2905,0.381,0.2476,0.0292,0.9484,0.6578,0.2768,58.3,78.9,85.2,93.8,98.2,99.6,43594.2734375,KSMC  CH 208,MORAGA,CA,POINT (-122.11108 37.8402)
CommunicationFlty,CA000562,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.2734396457672119,14.547263145446777,0.7414925694465637,0.49189117550849915,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0882,0.3716,0.3393,0.1845,0.0162,0.9117,0.5401,0.2007,66.5,84.6,89.4,95.8,98.9,99.8,35763.9140625,KVHS  CH 213,CONCORD,CA,POINT (-122.00218 38.0302)
CommunicationFlty,CA000582,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.29944267868995667,12.994046211242676,0.7356488108634949,0.3667662739753723,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0646,0.3241,0.3668,0.2211,0.0231,0.9353,0.6112,0.2443,61.7,81.3,87.0,94.7,98.5,99.7,40362.13671875,KECG  CH 201,EL CERRITO,CA,POINT (-122.29525 37.90826)
CommunicationFlty,CA000679,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.32553109526634216,12.258646011352539,0.7515487670898438,0.33662161231040955,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0475,0.2789,0.3849,0.2569,0.0315,0.9524,0.6734,0.2885,57.2,78.1,84.6,93.5,98.0,99.6,44704.65625,KFJO  CH 211,WALNUT CREEK,CA,POINT (-122.09496 37.89965)
CommunicationFlty,CA000930,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.24457155168056488,8.56013298034668,0.5540158152580261,0.23476307094097137,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.1252,0.4234,0.2971,0.1439,0.0101,0.8747,0.4513,0.1541,72.4,88.1,91.9,96.9,99.3,99.8,30354.0859375,KSTN-FM  CH 297,STOCKTON,CA,POINT (-121.78134 37.82131)
ElectricPowerFlty,CA000016,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.2888011634349823,15.714386940002441,0.7670409679412842,0.5222808122634888,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0169,0.1276,0.6284,0.1244,0.1024,0.983,0.8554,0.2269,31.3,44.1,69.6,81.9,86.6,97.8,8489969.0,MARTINEZ SULFURIC ACID REGENERATION PLT,MARTINEZ,CA,POINT (-122.116022 38.033075)
ElectricPowerFlty,CA000022,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.20283620059490204,7.012765884399414,0.45789074897766113,0.1807868927717209,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0786,0.2833,0.5652,0.0446,0.028,0.9213,0.638,0.0727,50.2,61.5,84.0,94.2,95.9,99.4,22317776.0,BUENA VISTA ENERGY LLC,BYRON,CA,POINT (-121.6672 37.805)
ElectricPowerFlty,CA000029,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.28632470965385437,10.346205711364746,0.6519268751144409,0.2789539396762848,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0176,0.1308,0.6296,0.122,0.0996,0.9823,0.8514,0.2217,31.7,44.5,70.1,82.4,86.9,97.9,19749168.0,PHILLIPS 66 CARBON PLANT,RODEO,CA,POINT (-122.2344 38.018056)
ElectricPowerFlty,CA000141,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.24465948343276978,9.492355346679688,0.5979543924331665,0.2650364935398102,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0367,0.1964,0.6268,0.0816,0.0582,0.9632,0.7667,0.1398,39.4,52.1,77.2,88.9,91.9,98.7,18265236.0,COLUMBIA 1,UNINCORPORATED,CA,POINT (-121.863859 38.0195)
ElectricPowerFlty,CA000235,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.283579558134079,10.185131072998047,0.6457984447479248,0.2739821970462799,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0185,0.1345,0.6308,0.1194,0.0966,0.9814,0.8469,0.216,32.1,45.0,70.5,82.8,87.2,98.0,16657809.0,C&H SUGAR PLANT,CROCKETT,CA,POINT (-122.218889 38.057222)
ElectricPowerFlty,CA000250,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.2675885558128357,11.3576021194458,0.6570038199424744,0.31031322479248047,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0504,0.3104,0.5259,0.0979,0.0151,0.9495,0.639,0.1131,50.0,60.7,81.9,92.0,95.2,99.6,74371640.0,RICHMOND COGEN,RICHMOND,CA,POINT (-122.390557 37.942586)
ElectricPowerFlty,CA000305,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.21277272701263428,8.365218162536621,0.5231019258499146,0.23649340867996216,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.1041,0.42,0.4281,0.0432,0.0043,0.8958,0.4757,0.0476,63.1,71.7,88.8,96.6,98.0,99.8,238793440.0,OAKLEY GENERATING STATION,OAKLEY,CA,POINT (-121.7475 38.01)
ElectricPowerFlty,CA000353,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.24450528621673584,12.875670433044434,0.6858428120613098,0.43737316131591797,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.068,0.3557,0.4939,0.0727,0.0094,0.9319,0.5761,0.0822,55.1,65.1,84.9,94.2,96.5,99.7,289613952.0,LOS MEDANOS ENERGY CENTER,PITTSBURG,CA,POINT (-121.873004 38.030071)
ElectricPowerFlty,CA000383,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.24465948343276978,9.492355346679688,0.5979543924331665,0.2650364935398102,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0679,0.3554,0.4941,0.0728,0.0095,0.932,0.5765,0.0824,55.1,65.1,84.9,94.2,96.5,99.7,403180288.0,DELTA ENERGY CENTER,PITTSBURGH,CA,POINT (-121.845152 38.017125)
ElectricPowerFlty,CA000409,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.2891490161418915,9.848416328430176,0.6430376172065735,0.2624647915363312,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0383,0.2712,0.5446,0.1235,0.0222,0.9616,0.6903,0.1457,45.7,56.8,79.0,89.7,93.6,99.5,52493980.0,MARTINEZ REFINING,MARTINEZ,CA,POINT (-122.1117 38.0169)
ElectricPowerFlty,CA000411,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.21277272701263428,8.365218162536621,0.5231019258499146,0.23649340867996216,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.1041,0.42,0.4281,0.0432,0.0043,0.8958,0.4757,0.0476,63.1,71.7,88.8,96.6,98.0,99.8,294096352.0,MARSH LANDING GENERATING STATION,ANTIOCH,CA,POINT (-121.765 38.016944)
ElectricPowerFlty,CA000486,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.21277272701263428,8.365218162536621,0.5231019258499146,0.23649340867996216,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.1041,0.42,0.4281,0.0432,0.0043,0.8958,0.4757,0.0476,63.1,71.7,88.8,96.6,98.0,99.8,220110496.0,GATEWAY GENERATING STATION,ANTIOCH,CA,POINT (-121.7587 38.0175)
ElectricPowerFlty,CA000492,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.2821619212627411,10.5068941116333,0.6519501805305481,0.2861925959587097,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.019,0.1364,0.6314,0.118,0.095,0.9809,0.8445,0.2131,32.4,45.2,70.8,83.1,87.4,98.0,36699372.0,PHILLIPS 66 RODEO REFINERY,RODEO,CA,POINT (-122.2583 38.0417)
ElectricPowerFlty,CA000554,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.305047869682312,12.021832466125488,0.7280945777893066,0.32921820878982544,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0128,0.1082,0.6176,0.1398,0.1213,0.9871,0.8788,0.2612,29.0,41.6,66.8,79.1,84.4,97.5,2537982.25,CCCSD WASTEWATER TREATMENT PLNT,MARTINEZ,CA,POINT (-122.0697 37.9978)
ElectricPowerFlty,CA000655,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.283579558134079,10.185131072998047,0.6457984447479248,0.2739821970462799,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0411,0.281,0.5407,0.1167,0.0202,0.9588,0.6778,0.137,46.8,57.8,79.7,90.3,94.0,99.5,126867760.0,CROCKETT COGEN PROJECT,CROCKETT,CA,POINT (-122.2161 38.0569)
ElectricPowerFlty,CA000659,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.25543802976608276,13.52338695526123,0.7071109414100647,0.45895054936408997,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.059,0.3339,0.5107,0.0843,0.0119,0.9409,0.607,0.0963,52.6,63.0,83.5,93.2,95.9,99.7,633575424.0,PITTSBURG POWER,PITTSBURG,CA,POINT (-121.894469 38.039168)
ElectricPowerFlty,CA000723,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.21494640409946442,7.41326904296875,0.48333194851875305,0.1896810680627823,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0629,0.2565,0.5903,0.0546,0.0355,0.937,0.6805,0.0901,46.7,58.6,82.1,92.9,94.9,99.2,49420704.0,VASCO WINDS,LIVERMORE,CA,POINT (-121.718055 37.790833)
ElectricPowerFlty,CA000743,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.305047869682312,12.021832466125488,0.7280945777893066,0.32921820878982544,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0315,0.2446,0.5522,0.143,0.0285,0.9684,0.7238,0.1715,42.9,54.2,76.7,87.8,92.4,99.3,63425652.0,FOSTER WHEELER MARTINEZ,MARTINEZ,CA,POINT (-122.0589 38.0244)
ElectricPowerFlty,CA000747,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.22777557373046875,8.881070137023926,0.5582232475280762,0.24961048364639282,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0498,0.2293,0.6102,0.0658,0.0446,0.9501,0.7207,0.1105,43.3,55.6,80.0,91.3,93.7,99.0,24707566.0,RIVERVIEW ENERGY CENTER,ANTIOCH,CA,POINT (-121.790679 38.014423)
